subject,timepoint,node,degree,strength,eigenvector_centrality,betweenness,local_efficiency,clustering
8,4,187,782.55974777,782.55974777,,0.019320843091334895,0.8940725182991972,0.000844492503959939
8,4,188,1415.93562103,1415.93562103,,0.026117988178878105,0.8940725182991972,0.0010362467074726304
8,4,189,3077.823088585,3077.823088585,,0.016359986617597858,0.8940725182991972,0.0028993064938972754
8,4,190,4027.7949821949996,4027.7949821949996,,0.011007025761124122,0.8940725182991972,0.004420251587381211
8,4,191,2789.0541243899997,2789.0541243899997,,0.017648042823686854,0.8940725182991972,0.002745840056137832
8,4,192,2330.113292385,2330.113292385,,0.009484777517564403,0.8940725182991972,0.0030314354880554696
8,4,193,1908.2509181,1908.2509181,,0.01288056206088993,0.8940725182991972,0.0020547008216746615
8,4,194,1998.33712597,1998.33712597,,0.009256161480985837,0.8940725182991972,0.0010440532648553784
8,4,195,5850.08706938,5850.08706938,,0.0027099364335898294,0.8940725182991972,0.004095738587428491
8,4,196,7942.180045385,7942.180045385,,0.00115980818556931,0.8940725182991972,0.005367286650309207
8,4,197,5177.120464415,5177.120464415,,0.001873536299765808,0.8940725182991972,0.003610298913266057
8,4,198,3964.30820872,3964.30820872,,0.003875320620051299,0.8940725182991972,0.0030114717973745257
8,4,199,3363.05784752,3363.05784752,,0.004934760789561727,0.8940725182991972,0.0024271110760300508
8,4,200,1921.001388475,1921.001388475,,0.0068082970893275346,0.8940725182991972,0.0009977037103451743
8,4,201,2647.99369747,2647.99369747,,0.006724657075945132,0.8940725182991972,0.0026081177978548743
8,4,202,3532.67168642,3532.67168642,,0.007937437269989963,0.8940725182991972,0.0036454095955242138
8,4,203,2993.317845205,2993.317845205,,0.00585480093676815,0.8940725182991972,0.002349629247599947
8,4,204,1955.92480066,1955.92480066,,0.005168952827032453,0.8940725182991972,0.0011118430074225309
8,4,205,3915.46138227,3915.46138227,,0.003044496487119438,0.8940725182991972,0.002788229054759246
8,4,206,6680.5066656300005,6680.5066656300005,,0.005787888926062228,0.8940725182991972,0.00451095243648033
8,4,207,6121.036785725,6121.036785725,,0.0011207761793241887,0.8940725182991972,0.004367962674479469
8,4,208,4044.501644945,4044.501644945,,0.0019404483104717297,0.8940725182991972,0.003448499069339026
8,4,209,1989.4275945699999,1989.4275945699999,,0.002910672465707595,0.8940725182991972,0.0019096787811391533
8,4,210,1094.699052465,1094.699052465,,0.005888256942121111,0.8940725182991972,0.0015223411356686972
8,4,211,1381.0871120650002,1381.0871120650002,,0.011341585814653731,0.8940725182991972,0.0015144619356165716
8,4,212,2408.327114235,2408.327114235,,0.0042935206869633095,0.8940725182991972,0.0023892500773124306
8,4,213,4456.188384155,4456.188384155,,0.0013047842087654735,0.8940725182991972,0.0026470883999878923
8,4,214,5242.561385645,5242.561385645,,0.001672800267648043,0.8940725182991972,0.0034409219449516005
8,4,215,4924.173913005,4924.173913005,,0.0005018400802944129,0.8940725182991972,0.00337945880321124
8,4,216,4794.26147372,4794.26147372,,0.006033232965317274,0.8940725182991972,0.0041448862227082585
8,4,217,3742.910524065,3742.910524065,,0.0039561726329876215,0.8940725182991972,0.0035791979629927694
8,4,218,2813.138524565,2813.138524565,,0.012253261960521915,0.8940725182991972,0.002502995567202636
8,4,219,3388.29065015,3388.29065015,,0.0008029441284710606,0.8940725182991972,0.002540601165560607
8,4,220,3689.78445577,3689.78445577,,0.0037303445968551356,0.8940725182991972,0.002678523022850316
8,4,221,3955.0401121600003,3955.0401121600003,,0.00020073603211776515,0.8940725182991972,0.003214738455145399
8,4,222,4327.51606199,4327.51606199,,0.002035240325638452,0.8940725182991972,0.0038220544555131893
8,4,223,5202.998777055,5202.998777055,,0.0017731682837069255,0.8940725182991972,0.004213215625306829
8,4,224,4474.472968125,4474.472968125,,0.005888256942121111,0.8940725182991972,0.0037324451812711192
8,4,225,3222.115003155,3222.115003155,,0.000234192037470726,0.8940725182991972,0.0026998242721127156
8,4,226,3274.313381395,3274.313381395,,0.00026764804282368687,0.8940725182991972,0.0023207872358034
8,4,227,3288.258604225,3288.258604225,,0.0025092004014720644,0.8940725182991972,0.002629336296875463
8,4,228,4856.133026185,4856.133026185,,0.005921712947474071,0.8940725182991972,0.0037092663087487593
8,4,229,4026.56712614,4026.56712614,,0.007014609122337459,0.8940725182991972,0.003215485277400363
8,4,230,1651.669518105,1651.669518105,,0.006339913014386083,0.8940725182991972,0.001299255903352156
8,4,231,3150.5734258850002,3150.5734258850002,,0.0035296085647373706,0.8940725182991972,0.0017617346567373666
8,4,232,3114.90012117,3114.90012117,,0.0020910003345600537,0.8940725182991972,0.0017617251835497084
8,4,233,1510.584504815,1510.584504815,,0.0025426564068250254,0.8940725182991972,0.001292448004812065
8,4,234,1122.7971657,1122.7971657,,0.003747072599531616,0.8940725182991972,0.001247986765144598
